-130.000   25.000 -0.00044 5
-130.000   26.000  0.00026 6
-130.000   27.000  0.00159 11
-130.000   28.000  0.00283 10
-130.000   29.000  0.00554 15
-130.000   30.000  0.00688 11
-130.000   31.000  0.00892 15
-130.000   32.000  0.00837 10
-130.000   33.000  0.00903 14
-130.000   34.000  0.00790 11
-130.000   35.000  0.00764 13
-130.000   36.000  0.00645 11
-130.000   37.000  0.00666 12
-130.000   38.000  0.00578 12
-130.000   39.000  0.00528 12
-130.000   40.000  0.00363 12
-130.000   41.000  0.00271 12
-130.000   42.000  0.00244 12
-130.000   43.000  0.00386 12
-130.000   44.000  0.00543 13
-130.000   45.000  0.00767 13
-130.000   46.000  0.00911 14
-130.000   47.000  0.01050 12
-130.000   48.000  0.01091 16
-130.000   49.000  0.01085 11
-130.000   50.000  0.01112 12
-129.000   25.000  0.00024 11
-129.000   26.000  0.00109 14
-129.000   27.000  0.00247 19
-129.000   28.000  0.00364 18
-129.000   29.000  0.00624 21
-129.000   30.000  0.00737 16
-129.000   31.000  0.00918 20
-129.000   32.000  0.00852 14
-129.000   33.000  0.00905 19
-129.000   34.000  0.00781 14
-129.000   35.000  0.00726 18
-129.000   36.000  0.00575 14
-129.000   37.000  0.00559 20
-129.000   38.000  0.00499 17
-129.000   39.000  0.00466 22
-129.000   40.000  0.00336 17
-129.000   41.000  0.00267 22
-129.000   42.000  0.00264 16
-129.000   43.000  0.00389 21
-129.000   44.000  0.00525 15
-129.000   45.000  0.00735 21
-129.000   46.000  0.00864 15
-129.000   47.000  0.00987 20
-129.000   48.000  0.01003 16
-129.000   49.000  0.00994 15
-129.000   50.000  0.01004 9
-128.000   25.000  0.00135 14
-128.000   26.000  0.00211 14
-128.000   27.000  0.00323 21
-128.000   28.000  0.00408 15
-128.000   29.000  0.00618 20
-128.000   30.000  0.00717 13
-128.000   31.000  0.00880 19
-128.000   32.000  0.00834 12
-128.000   33.000  0.00891 18
-128.000   34.000  0.00777 12
-128.000   35.000  0.00711 15
-128.000   36.000  0.00553 11
-128.000   37.000  0.00515 14
-128.000   38.000  0.00469 14
-128.000   39.000  0.00450 15
-128.000   40.000  0.00334 15
-128.000   41.000  0.00265 15
-128.000   42.000  0.00256 14
-128.000   43.000  0.00347 14
-128.000   44.000  0.00441 15
-128.000   45.000  0.00618 16
-128.000   46.000  0.00733 17
-128.000   47.000  0.00854 16
-128.000   48.000  0.00882 19
-128.000   49.000  0.00890 16
-128.000   50.000  0.00915 16
-127.000   25.000  0.00388 18
-127.000   26.000  0.00475 20
-127.000   27.000  0.00553 24
-127.000   28.000  0.00607 19
-127.000   29.000  0.00739 22
-127.000   30.000  0.00772 17
-127.000   31.000  0.00883 22
-127.000   32.000  0.00832 17
-127.000   33.000  0.00875 21
-127.000   34.000  0.00761 15
-127.000   35.000  0.00661 19
-127.000   36.000  0.00467 14
-127.000   37.000  0.00375 20
-127.000   38.000  0.00356 16
-127.000   39.000  0.00354 23
-127.000   40.000  0.00285 18
-127.000   41.000  0.00250 24
-127.000   42.000  0.00283 17
-127.000   43.000  0.00346 23
-127.000   44.000  0.00390 16
-127.000   45.000  0.00513 22
-127.000   46.000  0.00583 16
-127.000   47.000  0.00674 22
-127.000   48.000  0.00695 18
-127.000   49.000  0.00722 19
-127.000   50.000  0.00750 13
-126.000   25.000  0.00581 17
-126.000   26.000  0.00671 15
-126.000   27.000  0.00700 22
-126.000   28.000  0.00721 14
-126.000   29.000  0.00750 22
-126.000   30.000  0.00743 14
-126.000   31.000  0.00787 22
-126.000   32.000  0.00747 14
-126.000   33.000  0.00770 21
-126.000   34.000  0.00679 13
-126.000   35.000  0.00586 20
-126.000   36.000  0.00419 13
-126.000   37.000  0.00323 19
-126.000   38.000  0.00322 14
-126.000   39.000  0.00330 18
-126.000   40.000  0.00281 16
-126.000   41.000  0.00248 18
-126.000   42.000  0.00267 16
-126.000   43.000  0.00280 16
-126.000   44.000  0.00264 17
-126.000   45.000  0.00334 18
-126.000   46.000  0.00376 20
-126.000   47.000  0.00472 18
-126.000   48.000  0.00543 22
-126.000   49.000  0.00614 17
-126.000   50.000  0.00671 18
-125.000   25.000  0.00755 17
-125.000   26.000  0.00820 19
-125.000   27.000  0.00821 23
-125.000   28.000  0.00834 20
-125.000   29.000  0.00799 23
-125.000   30.000  0.00784 18
-125.000   31.000  0.00794 22
-125.000   32.000  0.00714 17
-125.000   33.000  0.00666 20
-125.000   34.000  0.00539 15
-125.000   35.000  0.00443 20
-125.000   36.000  0.00312 16
-125.000   37.000  0.00278 22
-125.000   38.000  0.00336 15
-125.000   39.000  0.00395 20
-125.000   40.000  0.00373 15
-125.000   41.000  0.00341 22
-125.000   42.000  0.00310 18
-125.000   43.000  0.00256 22
-125.000   44.000  0.00177 17
-125.000   45.000  0.00195 21
-125.000   46.000  0.00209 17
-125.000   47.000  0.00309 21
-125.000   48.000  0.00421 18
-125.000   49.000  0.00522 18
-125.000   50.000  0.00583 13
-124.000   25.000  0.00829 17
-124.000   26.000  0.00880 17
