  # slat   slon
  25.000 -130.000
  25.000 -128.000
  25.000 -126.000
  25.000 -124.000
  25.000 -122.000
  25.000 -120.000
  25.000 -118.000
  25.000 -116.000
  25.000 -114.000
  25.000 -112.000
  25.000 -110.000
  25.000 -108.000
  25.000 -106.000
  25.000 -104.000
  25.000 -102.000
  25.000 -100.000
  25.000  -98.000
  25.000  -96.000
  25.000  -94.000
  25.000  -92.000
  25.000  -90.000
  25.000  -88.000
  25.000  -86.000
  25.000  -84.000
  25.000  -82.000
  25.000  -80.000
  25.000  -78.000
  25.000  -76.000
  25.000  -74.000
  25.000  -72.000
  25.000  -70.000
  25.000  -68.000
  25.000  -66.000
  27.000 -130.000
  27.000 -128.000
  27.000 -126.000
  27.000 -124.000
  27.000 -122.000
  27.000 -120.000
  27.000 -118.000
  27.000 -116.000
  27.000 -114.000
  27.000 -112.000
  27.000 -110.000
  27.000 -108.000
  27.000 -106.000
  27.000 -104.000
  27.000 -102.000
  27.000 -100.000
  27.000  -98.000
  27.000  -96.000
  27.000  -94.000
  27.000  -92.000
  27.000  -90.000
  27.000  -88.000
  27.000  -86.000
  27.000  -84.000
  27.000  -82.000
  27.000  -80.000
  27.000  -78.000
  27.000  -76.000
  27.000  -74.000
  27.000  -72.000
  27.000  -70.000
  27.000  -68.000
  27.000  -66.000
  29.000 -130.000
  29.000 -128.000
  29.000 -126.000
  29.000 -124.000
  29.000 -122.000
  29.000 -120.000
  29.000 -118.000
  29.000 -116.000
  29.000 -114.000
  29.000 -112.000
  29.000 -110.000
  29.000 -108.000
  29.000 -106.000
  29.000 -104.000
  29.000 -102.000
  29.000 -100.000
  29.000  -98.000
  29.000  -96.000
  29.000  -94.000
  29.000  -92.000
  29.000  -90.000
  29.000  -88.000
  29.000  -86.000
  29.000  -84.000
  29.000  -82.000
  29.000  -80.000
  29.000  -78.000
  29.000  -76.000
  29.000  -74.000
  29.000  -72.000
  29.000  -70.000
  29.000  -68.000
  29.000  -66.000
  31.000 -130.000
  31.000 -128.000
  31.000 -126.000
  31.000 -124.000
  31.000 -122.000
  31.000 -120.000
  31.000 -118.000
  31.000 -116.000
  31.000 -114.000
  31.000 -112.000
  31.000 -110.000
  31.000 -108.000
  31.000 -106.000
  31.000 -104.000
  31.000 -102.000
  31.000 -100.000
  31.000  -98.000
  31.000  -96.000
  31.000  -94.000
  31.000  -92.000
  31.000  -90.000
  31.000  -88.000
  31.000  -86.000
  31.000  -84.000
  31.000  -82.000
  31.000  -80.000
  31.000  -78.000
  31.000  -76.000
  31.000  -74.000
  31.000  -72.000
  31.000  -70.000
  31.000  -68.000
  31.000  -66.000
  33.000 -130.000
  33.000 -128.000
  33.000 -126.000
  33.000 -124.000
  33.000 -122.000
  33.000 -120.000
  33.000 -118.000
  33.000 -116.000
  33.000 -114.000
  33.000 -112.000
  33.000 -110.000
  33.000 -108.000
  33.000 -106.000
  33.000 -104.000
  33.000 -102.000
  33.000 -100.000
  33.000  -98.000
  33.000  -96.000
  33.000  -94.000
  33.000  -92.000
  33.000  -90.000
  33.000  -88.000
  33.000  -86.000
  33.000  -84.000
  33.000  -82.000
  33.000  -80.000
  33.000  -78.000
  33.000  -76.000
